"","MedicalText"
"498","Albumin, Serum"
"499","Albumin, Serum"
"500","Albumin, Serum"
"501","Albumin, Serum"
"502","Albumin, Serum"
"503","Albumin, Serum"
"504","Albumin, Serum"
"505","Albumin, Serum"
"506","Albumin, Serum"
"507","Albumin, Serum"
"508","Albumin, Serum"
"509","Albumin, Serum"
"510","Albumin, Serum"
"511","Albumin, Serum"
"512","Albumin, Serum"
"513","Albumin, Serum"
"514","Albumin, Serum"
"515","Albumin, Serum"
"516","Albumin, Serum"
"517","Albumin, Serum"
"518","Albumin, Serum"
"519","Albumin, Serum"
"520","Albumin, Serum"
"521","Albumin, Serum"
"522","Albumin, Serum"
"523","Albumin, Serum"
"524","Albumin, Serum"
"525","Albumin, Serum"
"526","Albumin, Serum"
"527","Albumin, Serum"
"528","Albumin, Serum"
"529","Albumin, Serum"
"530","Albumin, Serum"
"531","Albumin, Serum"
"532","Albumin, Serum"
"533","Albumin, Serum"
"534","Albumin, Serum"
"535","Albumin, Serum"
"536","Albumin, Serum"
"537","Albumin, Serum"
"538","Albumin, Serum"
"539","Albumin, Serum"
"540","Albumin, Serum"
"541","Albumin, Serum"
"542","Albumin, Serum"
"543","Albumin, Serum"
"544","Albumin, Serum"
"545","Albumin, Serum"
"546","Albumin, Serum"
"547","Albumin, Serum"
"548","Albumin, Serum"
"549","Albumin, Serum"
"550","Albumin, Serum"
"551","Albumin, Serum"
"552","Albumin, Serum"
"553","Albumin, Serum"
"554","Albumin, Serum"
"555","Albumin, Serum"
"556","Albumin, Serum"
"557","Albumin, Serum"
"558","Albumin, Serum"
"559","Albumin, Serum"
"560","Albumin, Serum"
"561","Albumin, Serum"
"562","Albumin, Serum"
"563","Albumin, Serum"
"564","Albumin, Serum"
"565","Albumin, Serum"
"566","Albumin, Serum"
"567","Albumin, Serum"
"568","Albumin, Serum"
"569","Albumin, Serum"
"570","Albumin, Serum"
"571","Albumin, Serum"
"572","Albumin, Serum"
"573","Albumin, Serum"
"574","Albumin, Serum"
"575","Albumin, Serum"
"576","Albumin, Serum"
"577","Albumin, Serum"
"578","Albumin, Serum"
"579","Albumin, Serum"
"580","Albumin, Serum"
"581","Albumin, Serum"
"582","Albumin, Serum"
"583","Albumin, Serum"
"584","Albumin, Serum"
"585","Albumin, Serum"
"586","Albumin, Serum"
"587","Albumin, Serum"
"588","Albumin, Serum"
"589","Albumin, Serum"
"590","Albumin, Serum"
"591","Albumin, Serum"
"592","Albumin, Serum"
"593","Albumin, Serum"
"594","Bilirubin, Total"
"595","Bilirubin, Total"
"596","Bilirubin, Total"
"597","Bilirubin, Total"
"598","Bilirubin, Total"
"599","Bilirubin, Total"
"600","Bilirubin, Total"
"601","Bilirubin, Total"
"602","Bilirubin, Total"
"603","Bilirubin, Total"
"604","Bilirubin, Total"
"605","Bilirubin, Total"
"606","Bilirubin, Total"
"607","Bilirubin, Total"
"608","Bilirubin, Total"
"609","Bilirubin, Total"
"610","Bilirubin, Total"
"611","Bilirubin, Total"
"612","Bilirubin, Total"
"613","Bilirubin, Total"
"614","Bilirubin, Total"
"615","Bilirubin, Total"
"616","Bilirubin, Total"
"617","Bilirubin, Total"
"618","Bilirubin, Total"
"619","Bilirubin, Total"
"620","Bilirubin, Total"
"621","Bilirubin, Total"
"622","Bilirubin, Total"
"623","Bilirubin, Total"
"624","Bilirubin, Total"
"625","Bilirubin, Total"
"626","Bilirubin, Total"
"627","Bilirubin, Total"
"628","Bilirubin, Total"
"629","Bilirubin, Total"
"630","Bilirubin, Total"
"631","Bilirubin, Total"
"632","Bilirubin, Total"
"633","Bilirubin, Total"
"634","Bilirubin, Total"
"635","Bilirubin, Total"
"636","Bilirubin, Total"
"637","Bilirubin, Total"
"638","Bilirubin, Total"
"639","Bilirubin, Total"
"640","Bilirubin, Total"
"641","Bilirubin, Total"
"642","Bilirubin, Total"
"643","Bilirubin, Total"
"644","Bilirubin, Total"
"645","Bilirubin, Total"
"646","Bilirubin, Total"
"647","Bilirubin, Total"
"648","Bilirubin, Total"
"649","Bilirubin, Total"
"650","Bilirubin, Total"
"651","Bilirubin, Total"
"652","Bilirubin, Total"
"653","Bilirubin, Total"
"654","Bilirubin, Total"
"655","Bilirubin, Total"
"656","Bilirubin, Total"
"657","Bilirubin, Total"
"658","Bilirubin, Total"
"659","Bilirubin, Total"
"660","Bilirubin, Total"
"661","Bilirubin, Total"
"662","Bilirubin, Total"
"663","Bilirubin, Total"
"664","Bilirubin, Total"
"665","Bilirubin, Total"
"666","Bilirubin, Total"
"667","Bilirubin, Total"
"668","Bilirubin, Total"
"669","Bilirubin, Total"
"670","Bilirubin, Total"
"671","Bilirubin, Total"
"672","Bilirubin, Total"
"673","Bilirubin, Total"
"674","Bilirubin, Total"
"675","Bilirubin, Total"
"676","Bilirubin, Total"
"677","Bilirubin, Total"
"678","Bilirubin, Total"
"679","Bilirubin, Total"
"680","Bilirubin, Total"
"681","Bilirubin, Total"
"682","Bilirubin, Total"
"683","Bilirubin, Total"
"684","Bilirubin, Total"
"685","Bilirubin, Total"
"686","Bilirubin, Total"
"687","Bilirubin, Total"
"688","Bilirubin, Total"
"689","Bilirubin, Total"
"690","Bilirubin, Total"
"691","Bilirubin, Total"
"692","Bilirubin, Total"
"693","Bilirubin, Total"
"694","Bilirubin, Total"
"695","Bilirubin, Total"
"696","Bilirubin, Total"
"697","Bilirubin, Total"
"698","Bilirubin, Total"
"699","Bilirubin, Total"
"700","Bilirubin, Total"
"701","Bilirubin, Total"
"702","Bilirubin, Total"
"703","Bilirubin, Total"
"704","Bilirubin, Total"
"705","Bilirubin, Total"
"706","Bilirubin, Total"
"707","Bilirubin, Total"
"708","Bilirubin, Total"
"709","Bilirubin, Total"
"710","Bilirubin, Total"
"711","Bilirubin, Total"
"712","Bilirubin, Total"
"713","Bilirubin, Total"
"714","Bilirubin, Total"
"715","Bilirubin, Total"
"716","Bilirubin, Total"
"717","Alkaline Phosphatase, S"
"718","Alkaline Phosphatase, S"
"719","Alkaline Phosphatase, S"
"720","Alkaline Phosphatase, S"
"721","Alkaline Phosphatase, S"
"722","Alkaline Phosphatase, S"
"723","Alkaline Phosphatase, S"
"724","Alkaline Phosphatase, S"
"725","Alkaline Phosphatase, S"
"726","Alkaline Phosphatase, S"
"727","Alkaline Phosphatase, S"
"728","Alkaline Phosphatase, S"
"729","Alkaline Phosphatase, S"
"730","Alkaline Phosphatase, S"
"731","Alkaline Phosphatase, S"
"732","Alkaline Phosphatase, S"
"733","Alkaline Phosphatase, S"
"734","Alkaline Phosphatase, S"
"735","Alkaline Phosphatase, S"
"736","Alkaline Phosphatase, S"
"737","Alkaline Phosphatase, S"
"738","Alkaline Phosphatase, S"
"739","Alkaline Phosphatase, S"
"740","Alkaline Phosphatase, S"
"741","Alkaline Phosphatase, S"
"742","Alkaline Phosphatase, S"
"743","Alkaline Phosphatase, S"
"744","Alkaline Phosphatase, S"
"745","Alkaline Phosphatase, S"
"746","Alkaline Phosphatase, S"
"747","Alkaline Phosphatase, S"
"748","Alkaline Phosphatase, S"
"749","Alkaline Phosphatase, S"
"750","Alkaline Phosphatase, S"
"751","Alkaline Phosphatase, S"
"752","Alkaline Phosphatase, S"
"753","Alkaline Phosphatase, S"
"754","Alkaline Phosphatase, S"
"755","Alkaline Phosphatase, S"
"756","Alkaline Phosphatase, S"
"757","Alkaline Phosphatase, S"
"758","Alkaline Phosphatase, S"
"759","Alkaline Phosphatase, S"
"760","Alkaline Phosphatase, S"
"761","Alkaline Phosphatase, S"
"762","Alkaline Phosphatase, S"
"763","Alkaline Phosphatase, S"
"764","Alkaline Phosphatase, S"
"765","Alkaline Phosphatase, S"
"766","Alkaline Phosphatase, S"
"767","Alkaline Phosphatase, S"
"768","Alkaline Phosphatase, S"
"769","Alkaline Phosphatase, S"
"770","Alkaline Phosphatase, S"
"771","Alkaline Phosphatase, S"
"772","Alkaline Phosphatase, S"
"773","Alkaline Phosphatase, S"
"774","Alkaline Phosphatase, S"
"775","Alkaline Phosphatase, S"
"776","Alkaline Phosphatase, S"
"777","Alkaline Phosphatase, S"
"778","Alkaline Phosphatase, S"
"779","Alkaline Phosphatase, S"
"780","Alkaline Phosphatase, S"
"781","Alkaline Phosphatase, S"
"782","Alkaline Phosphatase, S"
"783","Alkaline Phosphatase, S"
"784","Alkaline Phosphatase, S"
"785","Alkaline Phosphatase, S"
"786","Alkaline Phosphatase, S"
"787","Alkaline Phosphatase, S"
"788","Alkaline Phosphatase, S"
"789","Alkaline Phosphatase, S"
"790","Alkaline Phosphatase, S"
"791","Alkaline Phosphatase, S"
"792","Alkaline Phosphatase, S"
"793","Alkaline Phosphatase, S"
"794","Alkaline Phosphatase, S"
"795","Alkaline Phosphatase, S"
"796","Alkaline Phosphatase, S"
"797","Alkaline Phosphatase, S"
"798","Alkaline Phosphatase, S"
"799","Alkaline Phosphatase, S"
"800","Alkaline Phosphatase, S"
"801","Alkaline Phosphatase, S"
"802","Alkaline Phosphatase, S"
"803","Alkaline Phosphatase, S"
"804","Alkaline Phosphatase, S"
"805","Alkaline Phosphatase, S"
"806","Alkaline Phosphatase, S"
"807","Alkaline Phosphatase, S"
"808","Alkaline Phosphatase, S"
"809","Alkaline Phosphatase, S"
"810","Alkaline Phosphatase, S"
"811","Alkaline Phosphatase, S"
"812","Alkaline Phosphatase, S"
"813","Alkaline Phosphatase, S"
"814","Alkaline Phosphatase, S"
"815","Alkaline Phosphatase, S"
"816","Alkaline Phosphatase, S"
"817","Alkaline Phosphatase, S"
"818","Alkaline Phosphatase, S"
"819","Alkaline Phosphatase, S"
"820","Alkaline Phosphatase, S"
"821","Alkaline Phosphatase, S"
"822","Alkaline Phosphatase, S"
"823","Alkaline Phosphatase, S"
"824","Alkaline Phosphatase, S"
"825","Alkaline Phosphatase, S"
"826","Alkaline Phosphatase, S"
"827","Alkaline Phosphatase, S"
"828","Alkaline Phosphatase, S"
"829","Alkaline Phosphatase, S"
"830","Alkaline Phosphatase, S"
"831","Alkaline Phosphatase, S"
"832","Alkaline Phosphatase, S"
"833","Alkaline Phosphatase, S"
"834","Alkaline Phosphatase, S"
"835","Alkaline Phosphatase, S"
"836","Alkaline Phosphatase, S"
"837","Alkaline Phosphatase, S"
"838","Alkaline Phosphatase, S"
"839","Alkaline Phosphatase, S"
"840","AST (SGOT)"
"841","AST (SGOT)"
"842","AST (SGOT)"
"843","AST (SGOT)"
"844","AST (SGOT)"
"845","AST (SGOT)"
"846","AST (SGOT)"
"847","AST (SGOT)"
"848","AST (SGOT)"
"849","AST (SGOT)"
"850","AST (SGOT)"
"851","AST (SGOT)"
"852","AST (SGOT)"
"853","AST (SGOT)"
"854","AST (SGOT)"
"855","AST (SGOT)"
"856","AST (SGOT)"
"857","AST (SGOT)"
"858","AST (SGOT)"
"859","AST (SGOT)"
"860","AST (SGOT)"
"861","AST (SGOT)"
"862","AST (SGOT)"
"863","AST (SGOT)"
"864","AST (SGOT)"
"865","AST (SGOT)"
"866","AST (SGOT)"
"867","AST (SGOT)"
"868","AST (SGOT)"
"869","AST (SGOT)"
"870","AST (SGOT)"
"871","AST (SGOT)"
"872","AST (SGOT)"
"873","AST (SGOT)"
"874","AST (SGOT)"
"875","AST (SGOT)"
"876","AST (SGOT)"
"877","AST (SGOT)"
"878","AST (SGOT)"
"879","AST (SGOT)"
"880","AST (SGOT)"
"881","AST (SGOT)"
"882","AST (SGOT)"
"883","AST (SGOT)"
"884","AST (SGOT)"
"885","AST (SGOT)"
"886","AST (SGOT)"
"887","AST (SGOT)"
"888","AST (SGOT)"
"889","AST (SGOT)"
"890","AST (SGOT)"
"891","AST (SGOT)"
"892","AST (SGOT)"
"893","AST (SGOT)"
"894","AST (SGOT)"
"895","AST (SGOT)"
"896","AST (SGOT)"
"897","AST (SGOT)"
"898","AST (SGOT)"
"899","AST (SGOT)"
"900","AST (SGOT)"
"901","AST (SGOT)"
"902","AST (SGOT)"
"903","AST (SGOT)"
"904","AST (SGOT)"
"905","AST (SGOT)"
"906","AST (SGOT)"
"907","AST (SGOT)"
"908","AST (SGOT)"
"909","AST (SGOT)"
"910","AST (SGOT)"
"911","AST (SGOT)"
"912","AST (SGOT)"
"913","AST (SGOT)"
"914","AST (SGOT)"
"915","AST (SGOT)"
"916","AST (SGOT)"
"917","AST (SGOT)"
"918","AST (SGOT)"
"919","AST (SGOT)"
"920","AST (SGOT)"
"921","AST (SGOT)"
"922","AST (SGOT)"
"923","AST (SGOT)"
"924","AST (SGOT)"
"925","AST (SGOT)"
"926","AST (SGOT)"
"927","AST (SGOT)"
"928","AST (SGOT)"
"929","AST (SGOT)"
"930","AST (SGOT)"
"931","AST (SGOT)"
"932","AST (SGOT)"
"933","AST (SGOT)"
"934","AST (SGOT)"
"935","AST (SGOT)"
"936","AST (SGOT)"
"937","AST (SGOT)"
"938","AST (SGOT)"
"939","AST (SGOT)"
"940","AST (SGOT)"
"941","AST (SGOT)"
"942","AST (SGOT)"
"943","AST (SGOT)"
"944","AST (SGOT)"
"945","AST (SGOT)"
"946","AST (SGOT)"
"947","AST (SGOT)"
"948","AST (SGOT)"
"949","AST (SGOT)"
"950","AST (SGOT)"
"951","AST (SGOT)"
"952","AST (SGOT)"
"953","AST (SGOT)"
"954","AST (SGOT)"
"955","AST (SGOT)"
"956","AST (SGOT)"
"957","AST (SGOT)"
"958","AST (SGOT)"
"959","AST (SGOT)"
"960","AST (SGOT)"
"961","AST (SGOT)"
"962","AST (SGOT)"
"963","Thyroxine (T4)"
"964","Thyroxine (T4)"
"965","Potassium, Serum"
"966","Potassium, Serum"
"967","Potassium, Serum"
"968","Potassium, Serum"
"969","Potassium, Serum"
"970","Potassium, Serum"
"971","Potassium, Serum"
"972","Potassium, Serum"
"973","Potassium, Serum"
"974","Potassium, Serum"
"975","Potassium, Serum"
"976","Potassium, Serum"
"977","Potassium, Serum"
"978","Potassium, Serum"
"979","Potassium, Serum"
"980","Potassium, Serum"
"981","Potassium, Serum"
"982","Potassium, Serum"
"983","Potassium, Serum"
"984","Potassium, Serum"
"985","Potassium, Serum"
"986","Potassium, Serum"
"987","Potassium, Serum"
"988","Potassium, Serum"
"989","Potassium, Serum"
"990","Potassium, Serum"
"991","Potassium, Serum"
"992","Potassium, Serum"
"993","Potassium, Serum"
"994","Potassium, Serum"
"995","Potassium, Serum"
"996","Potassium, Serum"
"997","Potassium, Serum"
"998","Potassium, Serum"
"999","Potassium, Serum"
"1000","Potassium, Serum"
"1001","Potassium, Serum"
"1002","Potassium, Serum"
"1003","Potassium, Serum"
"1004","Potassium, Serum"
"1005","Potassium, Serum"
"1006","Potassium, Serum"
"1007","Potassium, Serum"
"1008","Potassium, Serum"
"1009","Potassium, Serum"
"1010","Potassium, Serum"
"1011","Potassium, Serum"
"1012","Potassium, Serum"
"1013","Potassium, Serum"
"1014","Potassium, Serum"
"1015","Potassium, Serum"
"1016","Potassium, Serum"
"1017","Potassium, Serum"
"1018","Potassium, Serum"
"1019","Potassium, Serum"
"1020","Potassium, Serum"
"1021","Potassium, Serum"
"1022","Potassium, Serum"
"1023","Potassium, Serum"
"1024","Potassium, Serum"
"1025","Potassium, Serum"
"1026","Potassium, Serum"
"1027","Potassium, Serum"
"1028","Potassium, Serum"
"1029","Potassium, Serum"
"1030","Potassium, Serum"
"1031","Potassium, Serum"
"1032","Potassium, Serum"
"1033","Potassium, Serum"
"1034","Potassium, Serum"
"1035","Potassium, Serum"
